year,sbj,topic,grp,mean,level1c,level1b,level1a,level2,level3,level4,level5,level6,men,women,lower,middle,high
2012,Math,General,Hebrew,489,NA,10,14,22,24,18,9,3,496,481,440,486,536
2012,Math,General,HebrewOfficial,500,NA,NA,NA,NA,NA,NA,NA,NA,512,489,453,491,539
2012,Math,General,HebrewReligious,488,NA,NA,NA,NA,NA,NA,NA,NA,495,478,437,491,531
2012,Math,General,HebrewOrthodox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,NA,NA,NA
2012,Math,General,Arabic,388,NA,37,30,20,10,3,NA,NA,383,392,373,391,430
2012,Math,General,OECD,494,NA,8,15,22,24,18,9,3,499,489,NA,NA,NA
2012,Math,General,Israel,466,NA,16,18,22,21,15,7,2,NA,NA,NA,NA,NA
2012,Math,CompExam,Hebrew,467,NA,15,16,23,23,16,7,1,471,463,420,461,512
2012,Math,CompExam,HebrewOfficial,479,NA,NA,NA,NA,NA,NA,NA,NA,487,471,433,470,516
2012,Math,CompExam,HebrewReligious,466,NA,NA,NA,NA,NA,NA,NA,NA,462,471,413,464,509
2012,Math,CompExam,HebrewOrthodox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,NA,NA,NA
2012,Math,CompExam,Arabic,375,NA,42,25,20,10,3,NA,NA,363,385,365,373,404
2012,Math,CompExam,OECD,497,NA,7,13,23,26,20,9,3,503,491,NA,NA,NA
2012,Math,CompExam,Israel,447,NA,21,18,22,20,13,5,1,NA,NA,NA,NA,NA
2012,Reading,General,Hebrew,510,2,4,10,19,28,25,10,2,490,529,469,508,551
2012,Reading,General,HebrewOfficial,521,NA,NA,NA,NA,NA,NA,NA,NA,505,537,480,514,557
2012,Reading,General,HebrewReligious,506,NA,NA,NA,NA,NA,NA,NA,NA,493,525,472,505,542
2012,Reading,General,HebrewOrthodox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512,NA,NA,NA
2012,Reading,General,Arabic,401,10,16,24,28,17,5,1,NA,363,435,394,403,434
2012,Reading,General,OECD,496,1,4,12,23,29,21,7,1,478,515,NA,NA,NA
2012,Reading,General,Israel,486,4,7,13,21,25,21,8,2,NA,NA,NA,NA,NA
2012,Reading,Digital,Hebrew,495,NA,NA,18,23,29,22,8,NA,483,508,454,492,538
2012,Reading,Digital,HebrewOfficial,513,NA,NA,NA,NA,NA,NA,NA,NA,504,521,467,505,547
2012,Reading,Digital,HebrewReligious,480,NA,NA,NA,NA,NA,NA,NA,NA,460,513,439,479,517
2012,Reading,Digital,HebrewOrthodox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466,NA,NA,NA
2012,Reading,Digital,Arabic,340,NA,NA,77,18,4,NA,NA,NA,313,364,332,335,373
2012,Reading,Digital,OECD,497,NA,NA,18,22,30,22,8,NA,484,510,NA,NA,NA
2012,Reading,Digital,Israel,461,NA,NA,31,22,24,17,6,NA,NA,NA,NA,NA,NA
2012,Science,General,Hebrew,492,NA,7,14,24,28,20,7,1,493,490,444,488,539
2012,Science,General,HebrewOfficial,506,NA,NA,NA,NA,NA,NA,NA,NA,511,500,460,497,544
2012,Science,General,HebrewReligious,492,NA,NA,NA,NA,NA,NA,NA,NA,492,493,448,492,534
2012,Science,General,HebrewOrthodox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462,NA,NA,NA
2012,Science,General,Arabic,394,NA,25,32,26,13,3,NA,NA,382,405,383,396,432
2012,Science,General,OECD,501,NA,5,13,25,29,20,7,1,502,500,NA,NA,NA
2012,Science,General,Israel,470,NA,11,18,25,24,16,5,1,NA,NA,NA,NA,NA
2009,Reading,General,Israel,474,3.9,8,14.7,22.5,25.5,18.1,6.4,1,452,495,NA,NA,NA
2009,Reading,General,OECD,493,1.1,4.6,13.1,24,28.9,20.7,6.8,0.8,474,513,NA,NA,NA
